,rooms,area,floor,total_floors,city,district,residential_complex,house_type,condition,bathroom,ceiling_height,house_age,floor_ratio,is_first_floor,is_last_floor,description_len,lat,lon,coordinates_found,price_per_m2,price
69,3,67.0,5.0,9.0,Астана,Нура р-н,GreenLine.Asyl Mura Ualihanov,монолитный,unknown,совмещенный,3.0,4,0.6,0,0,322,51.1282205,71.4306682,1,1014925.37,68000000
70,1,34.24,5.0,6.0,Алматы,Алатауский р-н,Arena City. Balance,монолитный,unknown,совмещенный,3.0,0,0.6,0,0,2778,43.2363924,76.9457275,1,822000.0,28145280
71,1,37.6,10.0,12.0,Астана,Сарыарка р-н,unknown,кирпичный,unknown,совмещенный,2.7,14,0.8333333333333334,0,0,275,51.171133,71.3814087,1,500000.0,18800000
72,2,53.56,5.0,20.0,Астана,Нура р-н,GreenLine. 4YOU,монолитный,unknown,совмещенный,3.0,0,0.6,0,0,2439,51.1282205,71.4306682,1,996000.0,53345760
73,1,38.0,12.0,12.0,Астана,Алматы р-н,TAMASHA,кирпичный,unknown,unknown,3.2,1,1.0,0,1,1338,51.1237434,71.4689049,1,644736.84,24500000
74,3,86.0,1.0,3.0,Алматы,Турксибский р-н,unknown,кирпичный,свежий ремонт,раздельный,2.8,51,0.3333333333333333,1,0,235,43.3107502,76.95789,0,558139.53,48000000
75,3,90.0,1.0,6.0,Алматы,Медеуский р-н,Arman City,монолитный,unknown,unknown,2.85,1,0.16666666666666666,1,0,179,43.25297095,76.95745545,0,853333.33,76800000
76,1,41.97,5.0,14.0,Астана,Сарыарка р-н,Parkland,монолитный,unknown,совмещенный,2.65,0,0.6,0,0,1732,51.1282205,71.4306682,1,626000.0,26273220
77,3,67.0,1.0,6.0,Алматы,Алатауский р-н,Buta Fenomen,монолитный,свежий ремонт,совмещенный,2.85,2,0.16666666666666666,1,0,601,43.2609721,76.87274995,0,835820.9,56000000
78,4,95.0,6.0,9.0,Астана,Есильский р-н,Asylym Prime,кирпичный,свежий ремонт,2 с/у и более,3.0,3,0.6666666666666666,0,0,224,51.1079256,71.4273513,0,1157894.74,110000000
79,3,104.9,4.0,8.0,Алматы,Медеуский р-н,Европолис,монолитный,unknown,2 с/у и более,3.0,11,0.5,0,0,681,43.2208508,76.9759494,1,1096282.17,115000000
80,3,85.18,5.0,9.0,Алматы,Бостандыкский р-н,Tumar,монолитный,unknown,unknown,3.0,1,0.6,0,0,2861,43.2363924,76.9457275,1,870000.0,74106600
81,1,41.8,2.0,9.0,Астана,Есильский р-н,Времена года. Зима,монолитный,свежий ремонт,совмещенный,2.7,9,0.2222222222222222,0,0,531,51.1051908,71.4083428,1,691148.33,28890000
82,1,37.0,5.0,6.0,Алматы,Медеуский р-н,Dream City. Art,монолитный,unknown,unknown,3.0,0,0.8333333333333334,0,0,183,43.25297095,76.95745545,0,871621.62,32250000
83,3,79.0,3.0,10.0,Астана,Есильский р-н,Apple City,монолитный,unknown,unknown,3.0,6,0.3,0,0,659,51.086851,71.429465,1,601265.82,47500000
84,2,54.0,11.0,12.0,Астана,Алматы р-н,Мейір,кирпичный,unknown,unknown,2.8,9,0.9166666666666666,0,0,197,51.1287399,71.48180165,0,509240.74,27499000
85,2,44.0,12.0,12.0,Алматы,Алатауский р-н,Arena Sunset,монолитный,unknown,unknown,12.0,1,1.0,0,1,417,51.1384757,71.4691032,1,609090.91,26800000
86,2,44.4,5.0,3.0,Астана,Нура р-н,Астана,кирпичный,unknown,совмещенный,2.7,2,0.6,0,0,1773,51.1282205,71.4306682,1,300000.0,13320000
87,3,85.1,5.0,18.0,Астана,Нура р-н,Respublika,монолитный,unknown,2 с/у и более,3.0,0,0.6,0,0,2545,51.1282205,71.4306682,1,617000.0,52506700
88,3,75.86,5.0,3.5,Шымкент,Енбекшинский р-н,Aulet Residence,кирпичный,unknown,раздельный,3.2,2,0.6,0,0,1686,42.3146962,69.5883282,1,669600.0,50795856
89,1,33.5,2.0,4.0,Алматы,Медеуский р-н,unknown,кирпичный,свежий ремонт,совмещенный,2.7,62,0.5,0,0,817,43.25297095,76.95745545,0,1388059.7,46500000
90,3,73.6,8.0,9.0,Астана,Алматы р-н,Кайнар,монолитный,unknown,раздельный,2.7,20,0.8888888888888888,0,0,1194,51.1487334,71.4815817,1,516304.35,38000000
91,2,41.3,11.0,16.0,Астана,Нура р-н,GreenLine.Asyl Mura Abai,монолитный,unknown,unknown,2.7,5,0.6875,0,0,561,51.1282205,71.3890349,0,871428.57,35990000
92,3,75.0,2.0,9.0,Алматы,Алмалинский р-н,unknown,панельный,unknown,раздельный,2.8,39,0.2222222222222222,0,0,33,43.2571204,76.9242601,1,840000.0,63000000
93,4,138.0,7.0,12.0,Астана,Сарыарка р-н,Кенесары,кирпичный,"не новый, но аккуратный ремонт",2 с/у и более,2.8,19,0.5833333333333334,0,0,1490,51.1636949,71.4067513,1,456521.74,63000000
95,2,102.5,5.0,17.0,Алматы,Бостандыкский р-н,Шахристан,монолитный,свежий ремонт,совмещенный,2.85,13,0.29411764705882354,0,0,353,43.2063818,76.8866818,1,751219.51,77000000
96,2,40.2,8.0,17.0,Астана,Есильский р-н,Sandi Qala,монолитный,свежий ремонт,unknown,3.0,6,0.47058823529411764,0,0,25,51.1079256,71.4443257,1,920149.25,36990000
97,3,76.16,5.0,12.0,Алматы,Наурызбайский р-н,DASTUR,монолитный,unknown,2 с/у и более,3.0,0,0.6,0,0,1792,43.2363924,76.9457275,1,886000.0,67477760
99,2,54.6,13.0,13.0,Алматы,Бостандыкский р-н,Four Seasons,монолитный,свежий ремонт,совмещенный,2.8,4,1.0,0,1,1078,43.2149862,76.8902691,1,1007326.01,55000000
100,3,79.93,5.0,13.5,Астана,Нура р-н,Casa Mia,монолитный,unknown,2 с/у и более,3.0,0,0.6,0,0,2077,51.1282205,71.4306682,1,435000.0,34769550
101,1,43.8,7.0,16.0,Астана,Нура р-н,Aruna City,иной,свежий ремонт,совмещенный,2.9,3,0.4375,0,0,739,51.1391171,71.3728231,1,696347.03,30500000
102,2,56.5,2.0,7.0,Астана,Нура р-н,Шыгыс,кирпичный,unknown,unknown,2.7,5,0.2857142857142857,0,0,747,51.1266035,71.3679184,1,477876.11,27000000
103,2,48.6,1.0,12.0,Алматы,Алатауский р-н,Jar-Jar,монолитный,unknown,unknown,3.0,0,0.08333333333333333,1,0,987,43.2696707,76.8833445,1,668724.28,32500000
104,4,100.95,5.0,9.0,Астана,Есильский р-н,Family Nest,монолитный,unknown,2 с/у и более,2.7,0,0.6,0,0,2209,51.1282205,71.4306682,1,503000.0,50777850
106,3,90.0,10.0,10.0,Алматы,Турксибский р-н,Altyn City,монолитный,свежий ремонт,совмещенный,2.8,3,1.0,0,1,681,43.3107502,76.95789,0,554444.44,49900000
107,2,60.0,12.0,12.0,Шымкент,Каратауский р-н,unknown,монолитный,"не новый, но аккуратный ремонт",раздельный,2.8,5,1.0,0,1,174,42.3512194,69.6236919,0,396666.67,23800000
108,2,55.0,6.0,9.0,Алматы,Ауэзовский р-н,unknown,панельный,unknown,раздельный,2.8,35,0.6666666666666666,0,0,290,43.2134074,76.8815177,1,700000.0,38500000
109,2,88.1,4.0,4.0,Алматы,Бостандыкский р-н,Горное Солнце,монолитный,свежий ремонт,2 с/у и более,2.8,9,1.0,0,1,0,43.2051867,76.9160941,1,998864.93,88000000
110,2,64.33,5.0,9.0,Астана,Нура р-н,Alem Sana,монолитный,unknown,unknown,3.0,0,0.6,0,0,1503,51.1282205,71.4306682,1,594000.0,38212020
111,2,76.7,1.0,10.0,Алматы,Ауэзовский р-н,City Plus,монолитный,свежий ремонт,совмещенный,2.8,5,0.1,1,0,1482,43.2149014,76.87683609999999,0,612777.05,47000000
112,3,77.6,10.0,20.0,Астана,Есильский р-н,Коркем 3,монолитный,unknown,2 с/у и более,3.0,8,0.5,0,0,479,51.1084646,71.42625,1,670103.09,52000000
113,3,74.8,5.0,6.0,Алматы,Алатауский р-н,Arena City. Sport,монолитный,unknown,2 с/у и более,2.7,0,0.6,0,0,2559,43.2363924,76.9457275,1,721149.73,53942000
114,3,106.0,5.0,13.0,Астана,Есильский р-н,unknown,монолитный,unknown,unknown,2.8,9,0.38461538461538464,0,0,337,51.1293831,71.3630359,1,376415.09,39900000
115,3,71.2,1.0,5.0,Шымкент,Аль-Фарабийский р-н,unknown,монолитный,"не новый, но аккуратный ремонт",раздельный,3.0,37,0.2,1,0,379,42.3146962,69.5899715,0,368679.78,26250000
