,geocode_query,lat,lon
271,"Алматы, Мкр. Мамыр-3 19",,
272,"Алматы, ул. Ташена Утепова 20",,
273,"Алматы, мкр Орбита-4 6",,
274,"Алматы, Кабанбай батыра",43.2504833,76.9550503
275,"Алматы, мкр Мамыр-1 26/1",,
276,"Шымкент, Рашидова, Колос 114",,
277,"Алматы, мкр Шугыла, Мкр. Шугыла 340/4 к8",,
278,"Шымкент, мкр Шымсити 50/А4",,
279,"Алматы, ул. Егизбаева 9/5",43.2321249,76.8836582
280,"Астана, Момышулы 2г 2 блок",,
281,"Алматы, мкр Шугыла 13",,
282,"Алматы, мкр №2 73",,
283,"Алматы, Райымбека 247 б",43.2656204,76.8984896
284,"Астана, ул. Е-429 14/1",51.1428506,71.3596759
285,"Алматы, мкр Шугыла, Мкрн Шугыла 340/46, 4корпус",,
286,"Астана, Иманова 26",51.1638959,71.4446272
287,"Астана, Ахмет Байтурсынова 38",51.1197237,71.5009927
288,"Астана, Мустафина 3/2",51.1511861,71.5049165
289,"Астана, Сауран 3/1",51.1224535,71.4171518
290,"Астана, Е-429 24",51.1428506,71.3596759
291,"Астана, иманбаева 7б",51.1622974,71.4349762
292,"Астана, мкр Уркер, Е 901 1",,
293,"Астана, Кошкарбаева 45",51.1310627,71.5020488
294,"Алматы, мкр Коктобе, Сагадат Нурмагамбетова 138/2",,
295,"Астана, Просп. Улы Дала 86/1",51.0903412,71.4546933
296,"Шымкент, 16-й микрорайон, 16-й микрорайон 1",,
297,"Астана, Фариза Онгарсынова 6",51.0836852,71.4398731
298,"Алматы, мкр Шугыла, Строительная",,
299,"Астана, Кумисбекова 9А",51.1703419,71.3975388
300,"Алматы, Достык 44",43.2488719,76.957449
301,"Шымкент, мкр Асар-2 2",,
302,"Алматы, Просп. Ермека Серкебаева 107",43.2051795,76.8990197
303,"Алматы, Сейфуллина 416",43.263395,76.9330933
304,"Алматы, мкр Ерменсай, пер. 5 9",,
305,"Алматы, мкр. Аксай-4",,
306,"Алматы, мкр Нуркент, Алгабас-1",,
307,"Астана, Мангилик Ел 51/6",51.0940974,71.4220249
308,"Астана, Култегин 2",51.1776816,71.4385248
309,"Астана, Наркескен 1",51.1491186,71.4293008
310,"Алматы, Брусиловского 167",43.2414252,76.876778
311,"Астана, Шамши Калдаяков",51.1196997,71.4549676
312,"Алматы, Розыбакиева 237/1",43.2170253,76.8926006
313,"Алматы, 20-й микрорайон",43.2962705,76.8303943
314,"Шымкент, Кунаева 42",42.3302387,69.6010784
315,"Алматы, мкр Коктем-3 19",,
316,"Астана, Коргалжынское ш. 25/1",,
317,"Астана, Азербаева 6/2",51.1261545,71.5027183
318,"Астана, ул. Е-429 24",51.1428506,71.3596759
319,"Алматы, Бауыржана Момышулы 5/1",51.1364967,71.4613696
320,"Астана, Косшыгулулу 19/1",,
321,"Астана, Желтоксан 2/2",51.161996,71.4207429
322,"Астана, Бейбарыс Султан 25/2",51.1728973,71.3594164
323,"Шымкент, мкр Туран 26",,
324,"Астана, Аль-Фараби проспект 44",51.179322,71.4647685
325,"Шымкент, мкр Туран , Мкр. Туран 3402/6",,
326,"Астана, А91 14",3.1713993,101.6543101
327,"Шымкент, мкр Нурсат 215",,
328,"Астана, Ахмет Байтурсынулы 9",50.2669098,57.1907702
329,"Астана, Кудайбердыулы 17/3",51.158582,71.497112
330,"Алматы, Алмалинский район, ул. Кашгарская, д.3, кв. 12",,
331,"Астана, ул. Кенесары 8",51.1627939,71.4635738
332,"Астана, Толе би 52",51.1339983,71.398506
