iter	Passed	Remaining
868	51143	7709
869	51203	7651
870	51267	7593
871	51343	7536
872	51398	7477
873	51456	7418
874	51519	7359
875	51585	7302
876	51650	7244
877	51719	7186
878	51802	7130
879	51884	7075
880	51964	7019
881	52029	6960
882	52090	6902
883	52152	6843
884	52215	6785
885	52270	6725
886	52334	6667
887	52405	6609
888	52468	6551
889	52526	6492
890	52584	6432
891	52640	6373
892	52697	6314
893	52747	6254
894	52805	6195
895	52859	6135
896	52913	6075
897	52964	6016
898	53017	5956
899	53090	5898
900	53143	5839
901	53194	5779
902	53251	5720
903	53308	5661
904	53361	5601
905	53421	5542
906	53471	5482
907	53527	5423
908	53582	5364
909	53640	5305
910	53700	5246
911	53756	5187
912	53825	5129
913	53878	5069
914	53923	5009
915	53976	4949
916	54027	4890
917	54083	4831
918	54136	4771
919	54193	4712
920	54245	4653
921	54300	4593
922	54350	4534
923	54408	4475
924	54460	4415
925	54514	4356
926	54566	4297
927	54623	4238
928	54676	4178
929	54734	4119
930	54787	4060
931	54846	4001
932	54901	3942
933	54965	3884
934	55020	3824
935	55074	3765
936	55127	3706
937	55179	3647
938	55235	3588
939	55288	3529
940	55344	3470
941	55411	3411
942	55484	3353
943	55553	3295
944	55620	3237
945	55686	3178
946	55751	3120
947	55814	3061
948	55874	3002
949	55930	2943
950	55982	2884
951	56043	2825
952	56102	2766
953	56158	2707
954	56216	2648
955	56284	2590
956	56339	2531
957	56390	2472
958	56445	2413
959	56498	2354
960	56559	2295
961	56619	2236
962	56672	2177
963	56729	2118
964	56781	2059
965	56836	2000
966	56887	1941
967	56939	1882
968	56996	1823
969	57053	1764
970	57113	1705
971	57177	1647
972	57242	1588
973	57310	1529
974	57371	1471
975	57440	1412
976	57495	1353
977	57552	1294
978	57607	1235
979	57658	1176
980	57712	1117
981	57774	1059
982	57823	1000
983	57879	941
984	57933	882
985	57986	823
986	58039	764
987	58091	705
988	58143	646
989	58198	587
990	58252	529
991	58307	470
992	58362	411
993	58419	352
994	58470	293
995	58527	235
996	58580	176
997	58633	117
998	58688	58
999	58743	0
