iter	RMSE
800	0.1178923029
801	0.1178029565
802	0.1177453033
803	0.1176916349
804	0.1176415079
805	0.1176057121
806	0.1175664443
807	0.1174673112
808	0.1174027028
809	0.117339163
810	0.1173248066
811	0.1172669576
812	0.117264324
813	0.1171957522
814	0.1171711864
815	0.117145717
816	0.1170837845
817	0.1170515937
818	0.1169745508
819	0.1168786172
820	0.1168376657
821	0.1168181438
822	0.1167748776
823	0.1167156692
824	0.1166598212
825	0.1166345501
826	0.1165918694
827	0.1165380823
828	0.1165212516
829	0.1164767816
830	0.1164072735
831	0.1163815863
832	0.1162962535
833	0.1162195768
834	0.1161849834
835	0.1161287005
836	0.1160668947
837	0.1160255785
838	0.1159955215
839	0.1159948992
840	0.1159504744
841	0.1159056929
842	0.115879054
843	0.1158572195
844	0.1158358201
845	0.1157914301
846	0.1157571705
847	0.1157316575
848	0.115713708
849	0.1156810015
850	0.1156420475
851	0.1155898203
852	0.1155892187
853	0.1155332647
854	0.1155116537
855	0.1155061553
856	0.1154430615
857	0.1153882992
858	0.1153015979
859	0.1152430463
860	0.1151674376
861	0.1151543822
862	0.1151097191
863	0.1150670509
864	0.1149741175
865	0.1148713984
866	0.1148191244
867	0.11479604
868	0.1147677845
869	0.1147119612
870	0.1146637886
871	0.1145912918
872	0.1145208877
873	0.1144890153
874	0.1144622697
875	0.1144383807
876	0.1144067081
877	0.1143715052
878	0.1142655119
879	0.1142414442
880	0.1141864582
881	0.1141410331
882	0.1140888114
883	0.1140257771
884	0.1139601101
885	0.1139407924
886	0.1139108986
887	0.11385314
888	0.113836695
889	0.1138345178
890	0.1138186942
891	0.1137926064
892	0.1137684804
893	0.1137388365
894	0.113659967
895	0.1135908379
896	0.1135537297
897	0.113539934
898	0.1134873791
899	0.1134420232
900	0.1134021769
901	0.1133694704
902	0.1132890163
903	0.113275562
904	0.1132229156
905	0.1131962009
906	0.113195362
907	0.1131495475
908	0.1131140223
909	0.113053697
910	0.1130364506
911	0.1129861912
912	0.1129428678
913	0.1129423705
914	0.1129405945
915	0.1129134761
916	0.1128499278
917	0.1127937428
918	0.1127479799
919	0.1126755588
920	0.1126544433
921	0.1126501292
922	0.1125340978
923	0.1124904618
924	0.1124782544
925	0.1124410548
926	0.112365915
927	0.1122983484
928	0.1122739675
929	0.1122480745
930	0.112229638
931	0.1121820157
932	0.1121324289
933	0.1121244275
934	0.1120705689
935	0.1120662358
936	0.1120636431
937	0.1120092351
938	0.1119408739
939	0.1119307725
940	0.1119223429
941	0.1118856413
942	0.1118840954
943	0.1118391446
944	0.1118151185
945	0.111736892
946	0.1116870222
947	0.1116516679
948	0.111617291
949	0.1115949588
950	0.1115353688
951	0.1114662601
952	0.1114345465
953	0.111399245
954	0.1113657539
955	0.1113267613
956	0.1112646096
957	0.1112000436
958	0.111168136
959	0.1110686573
960	0.1110085193
961	0.1110082075
962	0.1109707944
963	0.1109440012
964	0.1109052711
965	0.1108061695
966	0.1107287794
967	0.1106964415
968	0.110681434
969	0.1106148577
970	0.1105598201
971	0.1105129536
972	0.110469192
973	0.1103929374
974	0.1103918595
975	0.1103570327
976	0.1103309946
977	0.1103100472
978	0.1103071794
979	0.1102585929
980	0.1102214483
981	0.1102207701
982	0.110170849
983	0.1101602631
984	0.1101378101
985	0.1100968813
986	0.1099868744
987	0.1099238457
988	0.1098746126
989	0.1098135673
990	0.1097876051
991	0.1097339502
992	0.1096803612
993	0.109661794
994	0.1096611325
995	0.1096064729
996	0.1095959314
997	0.10951471
998	0.1094357641
999	0.1094032703
