feature,importance
tfidf_окна улучшенная,0.0498139561396083
tfidf_прогулок,0.049731333809689866
tfidf_евро,0.04885095516962706
tfidf_метра,0.04847969951079138
tfidf_магазины,0.04806985632292506
tfidf_при,0.04748202704544194
tfidf_этаж из,0.047480430194759074
tfidf_отличное,0.04735905564422599
tfidf_так для,0.046811574066397736
tfidf_центры,0.04655789496219425
tfidf_детский,0.04646929401028842
tfidf_транспорта,0.046332128328193535
tfidf_светлая уютная,0.04604657330282587
tfidf_сады,0.045810600893511064
tfidf_отличная,0.045758798864384075
tfidf_залоге,0.045064664108510906
tfidf_современные,0.044395181270002304
tfidf_сад,0.04439253852031799
tfidf_семьи,0.04417214367870764
tfidf_меблирована,0.043807686069255565
tfidf_сдачи,0.04351992249660129
tfidf_ипотека,0.04210236977227962
tfidf_свежий,0.04205102094540295
tfidf_закрытый двор,0.041680408956485504
tfidf_для проживания,0.04130198707318849
tfidf_вас,0.04094828699773177
tfidf_так,0.03999412038869324
tfidf_тёплая,0.039717504408137
tfidf_минут,0.039421330312424605
tfidf_инфраструктурой,0.03869122421797164
tfidf_10,0.038573638189945365
tfidf_дворе,0.03816727677201089
tfidf_просмотр,0.037526944675370745
tfidf_развитая инфраструктура,0.03660889706714237
tfidf_вы,0.03623432003518486
tfidf_вариант для,0.03597227196579619
tfidf_квартира жк,0.03555854538809734
tfidf_шаговой,0.035341220317214074
tfidf_комфортного,0.03531021116516659
tfidf_проживания,0.035226557815158314
tfidf_санузел,0.03459025334164342
tfidf_что,0.034278228363063205
tfidf_заезжай,0.033972417548101076
tfidf_отличный вариант,0.03280717333866713
tfidf_со,0.03243369653481261
tfidf_комфортной,0.032344005861530814
tfidf_стены,0.032094815555270675
tfidf_остановки,0.0320646643240369
tfidf_закрытый,0.031868468001364274
tfidf_супермаркеты,0.031121262822017347
tfidf_мечеть,0.030630419027238374
tfidf_жилой комплекс,0.030551717412352367
tfidf_видеонаблюдение,0.030256488646329488
tfidf_планировкой,0.030068627952836234
tfidf_доступность,0.029644410658385474
tfidf_как для,0.02958276214610576
tfidf_неугловая улучшенная,0.02828979151828022
tfidf_развитой инфраструктурой,0.028081520807391385
tfidf_шаговой доступности,0.02800264891571118
tfidf_после,0.02779057612976166
tfidf_также,0.02691683182483713
tfidf_света,0.02660164221498602
tfidf_благоустройство,0.02647177492818371
tfidf_комфортного проживания,0.025052992262378476
tfidf_проживания так,0.023704380889851287
tfidf_детская,0.02288688163038548
tfidf_кирпичный,0.022782762164119008
tfidf_на этаже,0.022750353841047486
tfidf_удобной,0.022603429242776817
tfidf_жилом комплексе,0.022430846087875916
tfidf_машин,0.02163748288311052
tfidf_центр,0.021631453611724787
tfidf_безопасный,0.021467499940125256
tfidf_расположен,0.019014258126616102
tfidf_для комфортного,0.01894980520755284
tfidf_аренду,0.018814128074631446
tfidf_время,0.01868438028471356
tfidf_много,0.01867916714053556
tfidf_школы детские,0.01805700390498626
tfidf_развязка,0.017614523907438867
tfidf_района,0.017135738346463925
tfidf_удобная транспортная,0.016906984798789923
tfidf_фасад,0.01678232954254432
tfidf_поликлиника,0.016132758495523737
tfidf_развитой,0.016110242000888415
tfidf_необходимое,0.01594478387756608
tfidf_сдачи аренду,0.015207859291393927
tfidf_новый,0.01504802091292375
tfidf_столицы,0.014943655602127575
tfidf_жилом,0.014819375054708468
tfidf_соседи,0.014481565589732756
tfidf_всё необходимое,0.01417722276428077
tfidf_park,0.013048928594487507
tfidf_площадки,0.012429269816321448
tfidf_детский сад,0.012258990250779525
tfidf_живи,0.012080429869191611
tfidf_неугловая комнаты,0.011153547834234027
tfidf_идеальный,0.010881355628507351
tfidf_тех кто,0.010797802844326684
tfidf_идеально,0.010722457703830367
tfidf_подъезд,0.010366754919520535
tfidf_обеспечивает,0.00980056441094744
tfidf_застройщика,0.009797085993920486
tfidf_для комфортной,0.00921467494006794
tfidf_порядке,0.009063848239625678
tfidf_пишите,0.008368838671500912
tfidf_удобная планировка,0.00758643664537462
tfidf_документы порядке,0.007558288469648439
tfidf_для тех,0.006016281018028095
tfidf_рядом школы,0.004316856430505007
tfidf_вариант как,0.004202145968220519
tfidf_идеальный вариант,0.003397036539102119
tfidf_заехать,0.0018528812037115754
tfidf_для семьи,0.0012452216797159122
tfidf_во дворе,0.0
